Index,Word,Syllables,Phonemes
1,a,1,1
2,a,1,1
3,Aaa,3,7
4,aardvark,2,7
5,Aaron,2,4
6,Ab,1,2
7,Ab,2,3
8,aback,2,4
9,abacus,3,6
10,abalone,4,7
11,abandon,3,7
12,abandoned,3,8
13,abandoning,4,9
14,abandonment,4,11
15,abandons,3,8
16,abate,2,4
17,abated,3,6
18,abatement,3,8
19,abates,2,5
20,abating,3,6
21,Abba,2,3
22,Abbas,2,4
23,Abbe,2,3
24,Abbe,2,3
25,Abbey,2,3
26,Abbot,2,4
27,Abbott,2,4
28,abbreviate,4,8
29,abbreviated,5,10
30,abbreviated,5,10
31,abbreviation,5,10
32,abbreviations,5,11
33,Abby,2,3
34,abdicate,3,7
35,abdicated,4,9
36,abdicates,3,8
37,Abdicating,4,9
38,abdication,4,9
39,abdomen,3,7
40,abdomen,3,7
41,abdominal,4,9
42,abdominal,4,9
43,abduct,2,6
44,abducted,3,8
45,abducted,3,8
46,abductee,3,7
47,abductees,3,8
48,abducting,3,8
49,abducting,3,8
50,abduction,3,8
51,abduction,3,8
52,abductions,3,9
53,abductions,3,9
54,abductor,3,7
55,abductor,3,7
56,abductors,3,8
57,abductors,3,8
58,abducts,2,7
59,abed,2,4
60,Abel,2,4
61,abele,2,4
62,Abend,2,5
63,Abend,2,5
64,Aberdeen,3,6
65,Abernethy,4,7
66,aberrant,3,7
67,aberration,4,7
68,aberrations,4,8
69,abet,2,4
70,abetted,3,6
71,abetting,3,6
72,abeyance,3,6
73,abhor,2,5
74,abhorred,2,6
75,abhorrent,3,8
76,abhors,2,6
77,abide,2,4
78,abided,3,6
79,abides,2,5
80,abiding,3,6
81,Abigail,3,6
82,Abilene,3,6
83,abilities,4,8
84,ability,4,7
85,abject,2,6
86,ablaze,2,5
87,able,2,4
88,abler,3,5
89,abler,2,4
90,ablest,2,6
91,ablest,2,6
92,abloom,2,5
93,ably,2,4
94,Abner,2,4
95,abnormal,3,8
96,abnormalities,5,12
97,abnormality,5,11
98,abnormally,4,9
99,abo,2,3
100,aboard,2,5
101,abode,2,4
102,abolish,3,6
103,abolished,3,7
104,abolishes,4,8
105,abolishing,4,8
106,abolition,4,8
107,abolitionism,6,12
108,abolitionist,5,11
109,abolitionists,5,10
110,abolitionists,5,12
111,abominable,5,10
112,abomination,5,10
113,aboriginal,5,9
114,aborigine,5,8
115,aborigines,5,9
116,Abort,2,5
117,aborted,3,7
118,aborting,3,7
119,abortion,3,7
120,abortionist,4,10
121,abortionists,4,9
122,abortionists,4,11
123,abortions,3,8
124,abortive,3,7
125,aborts,2,6
126,abound,2,5
127,abounded,3,7
128,abounding,3,7
129,abounds,2,6
130,about,2,4
131,above,2,4
132,aboveboard,3,8
133,Abracadabra,5,11
134,Abraham,3,7
135,abrasion,3,7
136,abrasions,3,8
137,abrasive,3,7
138,abrasives,3,8
139,Abraxas,3,8
140,abreast,2,6
141,abridge,2,5
142,abridged,2,6
143,abridgement,3,9
144,abridging,3,7
145,abroad,2,5
146,abrogate,3,7
147,abrogated,4,9
148,abrogating,4,9
149,abrupt,2,6
150,abruptly,3,8
151,abruptness,3,9
152,abs,1,3
153,abs,3,5
154,Abscam,2,6
155,abscess,2,5
156,abscond,2,7
157,absconded,3,9
158,absconding,3,9
159,absence,2,6
160,absences,3,8
161,absent,2,6
162,absentee,3,7
163,absenteeism,5,11
164,absentees,3,8
165,absentia,3,7
166,absinthe,2,6
167,absolute,3,7
168,absolutely,4,9
169,Absoluteness,4,10
170,absolutes,3,8
171,absolution,4,9
172,absolve,2,6
173,absolve,2,6
174,absolved,2,7
175,absolved,2,7
176,absolves,2,7
177,absolves,2,7
178,absolving,3,8
179,absolving,3,8
180,absorb,2,6
181,absorbed,2,7
182,absorbent,3,9
183,absorber,3,7
184,absorbers,3,8
185,absorbing,3,8
186,absorbs,2,7
187,absorption,3,9
188,absorption,3,9
189,abstain,2,6
190,abstain,2,6
191,abstained,2,7
